RMSE,SMAPE,Sentiment,Volume,Vol,RSI_14,EMA_50
601.7488361247689,1.965532345084401,25,171050.74667241002,5235.648281004302,28.071549877013275,22909.49767770114
1546.1208207675259,5.19679122739061,27,277293.7109278,5588.265835569875,16.749730531855242,22804.857078137866
2665.1553556954163,9.672708180164063,28,163905.29797891,5677.580769909414,15.729552708798217,22696.339534818875
1899.316092346623,6.967819309600415,28,140191.31747116,5702.4605373855065,14.928790682510517,22573.17401417936
2652.9055105047582,8.048760436022437,24,211736.0293545,5289.286124586425,23.91012134897964,22483.47402335052
966.3054845943341,3.2016121698425475,27,258695.98345733,4868.097015642726,23.1679472320671,22378.699296737806
1382.1521008380118,4.389274409832606,23,279217.77320773003,4225.325724273098,27.33717025327972,22287.381404457243
584.5143153548402,1.8619305534910084,20,247131.59153225,3577.93395259268,28.739202663614257,22202.83445589657
1117.9772877485984,3.7108806903637017,25,247691.15300941,2717.431163629095,41.247786871044056,22114.562874713454
670.2581071793284,1.9197611728186146,21,147093.48425630998,2812.016354293515,36.47106980683347,22025.047664933707
1435.2346282104454,4.707847229262738,20,146057.24353815,2792.6580857175136,33.60174435615968,21945.646638450336
520.9938531105471,1.5267413627629511,23,223518.97409852,2648.050898967414,32.97326158043261,21861.379225160028
850.5558020043205,2.618652559436286,22,359532.03072596,2827.0726886506195,25.46063868671072,21740.956337673484
590.83049319892,1.5631725205101044,24,289341.05282334,2588.0850786229635,32.50681412802916,21644.94733323502
1432.0953525025795,4.902210853577803,20,264572.47568086,2280.7827702280147,30.57437656167128,21553.76448988056
1163.6172840293043,4.142741376117894,22,432929.07025236,2140.800668533301,58.76563504056881,21546.174151119565
992.2773379906722,3.1083801600526084,28,309352.72800702,2720.2164669705585,62.41194857150273,21550.184720233927
270.336274317001,0.7874798561776519,26,281546.94608098,3248.7632042138853,68.3052835080023,21561.036079553745
214.45100373803623,0.6191092214169017,25,397892.60527671,3864.2564600262776,67.46117394328016,21593.770861111952
693.9676302390582,2.299856228629649,34,435842.11336147,3866.1779060086656,52.41243727630101,21538.07792167313
296.2877898306196,0.8794966950049065,27,343620.30781535,3835.2716135395217,51.256283161838255,21486.653734262465
443.6034242910457,1.2088317462947313,28,335601.3319228,3874.3282999557455,47.442380720879385,21416.659388916298
681.6614910942243,2.2032714504570037,20,286305.49748614,3901.194412095104,49.17170986036312,21353.38994554634
686.5286763147733,1.989580534631724,22,180297.52120708,3890.927760573405,51.81862449899824,21304.771594603688
749.2496430337894,2.1332153420758386,27,255827.10869374,3959.514760135834,46.75237387632311,21230.709874939614
502.2655990893474,1.4612497054361686,21,383930.6200002,4014.555311823318,48.5968447141533,21164.291006320447
847.4594477639437,2.5306157871041095,23,326642.58148865,4207.448265460765,50.60875074808119,21074.51580479065
927.56991119393,2.9430551847734825,23,390367.03797764,4325.376204989734,45.03665090631829,20972.041592392143
1123.6938616746997,3.0562243625276753,22,381928.7628697,4305.1863433550125,50.54865637905732,20910.45719079268
1265.9333342082764,3.7615373760784374,20,388480.10167023,4311.040059907411,35.71003019247215,20846.907391215656
995.4176915260578,2.216361183088492,24,240418.59140143,4269.582883939598,31.35039078218696,20771.362078522445
1549.6217106793777,4.104115716582135,24,192170.89226377,4039.475290845861,29.1583529296472,20694.343697146327
1894.836602320394,4.873968835698084,21,442406.60742752,3474.060027427696,27.66669913000512,20636.832452936706
1794.7082993449897,4.924414413173433,20,597684.45854902,1986.52989944024,39.127314805122246,20575.74488349264
2183.4370172484673,6.532929934886752,20,525203.09568997,1820.160446491896,42.37460972040146,20530.14003741054
2071.9319946623395,6.682364992335144,22,408237.55374977,1605.5407617845729,48.97959252639279,20493.33110165545
3379.0324605778465,11.134965663069512,21,446736.73772301,1559.2746886740993,46.28501068680619,20451.342545258045
1069.6104826510407,3.50089003147539,20,166003.74657732,1467.2432745385356,41.72213087212988,20406.621362885147
975.8290544655657,3.2202687269157506,24,207330.50412521,1177.454966013977,45.96612488954453,20353.686623485
851.2687368970217,2.424447847868443,24,294694.88388723,1235.370890826512,51.05940889734034,20325.271698820376
1339.0444550512418,3.6836246038643554,20,329467.5441622,1631.561866845528,65.19510635702113,20325.7653030578
1898.5457561847484,5.989341255035939,25,314029.60116196,1795.5038027093187,68.4986196642611,20319.19730358781
1396.8878371989233,4.535137416645604,26,321561.05972495,1638.818567216587,57.32427769326204,20305.13571245274
482.30566954977184,1.263783525302412,23,222165.41929407,1640.4736638729487,52.96753485817156,20274.74219805744
1169.6193177013713,3.894053552468492,24,102997.41718324,1632.7020448871235,56.42858124059775,20241.14329798389
1903.2718809891023,5.8227321328044885,22,114608.10132611,1536.130711638094,58.328409996254855,20209.688929593813
884.7247762371902,2.6252611292766055,22,213562.08150829,1419.0147564252168,48.81222768129146,20167.42135237065
1146.6614617414039,3.5689294822568,24,244806.77531318,1461.4584937847649,49.83816381016502,20123.99285051945
1030.1216775322894,3.223483755153873,20,214696.53801879,1441.0328451159996,46.32756432111872,20086.01414887686
999.563217523101,2.5821562395979782,20,402677.46545384,1443.9696015405088,46.96511908668364,20058.13687103323
1808.7280064579,4.721889865901534,24,352948.12712372,1474.4014165078404,46.57044657493351,20023.58033295421
2200.014155038989,6.28754217749407,24,114179.07330278,1526.1413693729703,46.62533015601695,19986.160718318613
1931.6867854868287,5.780992889529914,24,132311.63045964,1531.3315572520366,53.1184468466183,19957.80081621878
2976.5730287382403,9.606770168158087,20,223955.49984258,1477.61825916509,48.83392364961898,19941.80256542659
2841.571029771505,9.110504286983616,22,261837.60483389,1476.6585170653827,30.99138382777874,19917.71141364599
2097.8817145488442,7.0226627969178415,23,187439.89073401,1197.1413582328323,30.71443243580996,19886.584852612352
1507.2018483300553,4.944245421079517,23,225021.79517329,929.7684827896728,32.10111561028732,19853.46102150191
964.5211713671673,3.3140684005571344,23,271234.19760085,645.9176050651047,41.95109485365502,19826.43801938829
536.3186239921073,1.7569224415416542,20,110859.32925912,580.593315932623,45.18227888483012,19802.04267660288
280.8159093672129,0.9260831982202811,23,168252.82197587,644.2533484679864,52.70977666138926,19792.959653282505
450.0332225306675,1.3989999825141932,22,257324.0081544,619.2498076511971,54.13745698721982,19774.793793994617
229.504673057141,0.6818457045481267,20,329175.18375608994,1012.2901478931792,66.40186705652236,19786.767725302638
